Page path and screen class,Country,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,China,116,115,1.008695652,1.904347826,424,0,0
/xml-sitemaps/,China,92,21,4.380952381,109.2380952,308,0,0
/,United States,86,65,1.323076923,11.61538462,345,0,0
/,India,75,39,1.923076923,16.46153846,289,0,0
/,United Kingdom,71,47,1.510638298,17.87234043,291,0,0
/xml-sitemaps/,United States,65,23,2.826086957,57.7826087,213,0,0
/crawlytics/e4ea94d17dc647ecabfae169,Tunisia,47,1,47,9,102,0,0
/seo-crawler/,United States,44,35,1.257142857,37.17142857,162,0,0
/,Türkiye,43,12,3.583333333,19.91666667,122,0,0
/seo-crawler/,United Kingdom,37,31,1.193548387,23.41935484,130,0,0
/seo-crawler/,India,30,23,1.304347826,34.39130435,112,0,0
/crawlytics/fc98229d63972022f208e092,Tunisia,28,1,28,82,66,0,0
/python/tutorial/running-python-scripts-uv/,Germany,28,25,1.12,18,108,0,0
/,Germany,27,17,1.588235294,18.47058824,105,0,0
/entity-extraction/,United States,25,24,1.041666667,11.75,110,0,0
/,Switzerland,24,8,3,29.125,83,0,0
/reverse-dns-lookup/,Thailand,24,8,3,58.25,88,0,0
/seo-crawler/,Thailand,24,18,1.333333333,0,66,0,0
/,Brazil,23,11,2.090909091,26.36363636,72,0,0
/bot-ips/,United States,23,23,1,3.043478261,85,0,0
/schema-generator/,Denmark,22,22,1,0,67,0,0
/seo-crawler/,France,22,10,2.2,33.9,81,0,0
/user-agent-parser/,United States,22,12,1.833333333,45.5,92,0,0
/,Croatia,21,10,2.1,12.4,95,0,0
/llm-content-evaluation/,Pakistan,21,5,4.2,121,66,0,0
/,Pakistan,20,11,1.818181818,14.72727273,79,0,0
/reverse-dns-lookup/,India,20,14,1.428571429,25.57142857,91,0,0
/text-analysis/,Italy,20,4,5,97.25,63,0,0
/,Poland,19,9,2.111111111,17.11111111,58,0,0
/reverse-dns-lookup/,United States,19,17,1.117647059,18.52941176,92,0,0
/seo-crawler/,Germany,19,13,1.461538462,49.53846154,78,0,0
/user-agent-parser/,Bangladesh,19,9,2.111111111,131.1111111,74,0,0
/xml-sitemaps/,Vietnam,19,7,2.714285714,113.5714286,65,0,0
/seo-crawler/,Pakistan,18,9,2,51.88888889,51,0,0
/xml-sitemaps/,Pakistan,18,7,2.571428571,110,61,0,0
/xml-sitemaps/,United Kingdom,18,13,1.384615385,40.53846154,61,0,0
/,Mexico,17,7,2.428571429,29.14285714,47,0,0
/,Canada,16,9,1.777777778,115.4444444,70,0,0
/,Italy,16,10,1.6,15.4,58,0,0
/python/tutorial/running-python-scripts-uv/,United States,15,15,1,37.66666667,68,0,0
